12453	3	thorpe,marsh,station	no	HIGH
13644	3	thorpe,marsh,station	no	HIGH
12464	2	leake,ratcliffe	no	HIGH
14018	2	fairfields,system	no	HIGH
14060	2	almholme,system	no	HIGH
12206	2	coalburn,facility	YES	HIGH
16190	3	rover,splott,centre	no	HIGH
17978	2	drakelow,system	no	HIGH
18123	2	mowbray,station	no	HIGH
18601	3	rides,leysdown,system	no	HIGH
18652	1	canners	no	LOW
18790	1	coleby	no	LOW
19534	2	swinford,facility	no	HIGH
19634	3	tesside,gigapark,system	no	HIGH
19676	3	hawthorn,green,system	no	HIGH
14386	3	fanny,house,gateway	no	HIGH
11858	3	haughend,alyth,system	no	HIGH
12588	1	botley	no	LOW
13044	2	springwell,lincoln	no	HIGH
15150	2	great,north	no	HIGH
18069	2	sweetbriar,system	no	HIGH
19172	2	birds,corner	no	HIGH
19574	2	tween,bridge	no	HIGH
15528	2	neilston,greener	no	HIGH
17700	1	whitestone	no	LOW
14807	1	earth	no	LOW
15425	2	auchentiber,system	no	HIGH
13362	3	carrington,station,manchester	no	HIGH
15169	1	braxbess	no	LOW
10915	1	cottam	no	LOW
13599	1	beacon	no	LOW
15793	1	green	no	LOW
15794	1	green	no	LOW
17495	2	daines,system	YES	HIGH
18138	3	stable,green,system	no	HIGH
15797	1	whitehall	no	LOW
10173	1	spalding	no	LOW
17000	2	eggborough,system	no	HIGH
9810	1	burton	no	LOW
10728	3	chads,photovoltaic,arrays	no	HIGH
18291	3	house,norwich,system	no	HIGH
18157	4	netherfauld,house,tower,system	no	HIGH
11034	1	coalburn	YES	LOW
11928	3	burton,station,north	no	HIGH
11988	2	normanton,reserve	no	HIGH
12282	3	tillbridge,hemswell,panels	YES	HIGH
12483	3	eggborough,station,selby	no	HIGH
12968	6	culham,science,centre,clifton,hampden,facility	no	HIGH
14058	3	eccles,substation,system	no	HIGH
15176	2	kilmarnock,system	no	HIGH
15501	1	claydon	no	LOW
15530	1	braston	no	LOW
16063	0		no	NONE
16064	0		no	NONE
16473	1	redshaw	no	LOW
16723	3	torksey,ferry,rampton	no	HIGH
17143	1	titan	no	LOW
17405	4	eckland,lodge,braybrooke,system	no	HIGH
17552	1	abbotshaugh	YES	LOW
17560	1	droves	no	LOW
17702	3	light,valley,selby	YES	HIGH
17964	1	holmfield	no	LOW
18504	3	rothienorman,middleton,blackhills	no	HIGH
18777	3	sundon,chalton,system	no	HIGH
18957	2	claydon,substation	no	HIGH
19130	1	system	no	LOW
19212	3	greystone,blackhills,system	no	HIGH
19561	0		no	NONE
19671	2	braybrooke,system	no	HIGH
20670	0		no	NONE
7189	1	sunnica	no	LOW
8163	1	longfield	YES	LOW
9248	2	devilla,facility	YES	HIGH
9807	1	heckington	no	LOW
10917	1	burton	no	LOW
16887	2	fairlawns,chelmsford	no	HIGH
18343	3	elkesley,southbound,system	no	HIGH
15427	2	gretna,green	no	HIGH
10309	2	gateway,centre	no	HIGH
15253	2	steeple,renewables	no	HIGH
18670	3	brockleaze,neston,estate	no	HIGH
19157	3	castle,burton,system	no	HIGH
10013	4	cellarhead,substation,rownall,facility	no	HIGH
10535	4	hunterston,services,complex,facility	no	HIGH
10536	4	kincardine,services,complex,facility	no	HIGH
11867	2	eccles,system	no	HIGH
12651	3	chickerell,court,system	no	HIGH
12926	2	tween,bridge	no	HIGH
13600	1	beacon	no	LOW
13977	2	green,navenby	no	HIGH
14935	2	junction,westleigh	no	HIGH
14988	1	glenside	no	LOW
15005	2	blackdyke,blackford	no	HIGH
15348	0		no	NONE
15529	2	lagrae,system	no	HIGH
15566	1	yorkshire	no	LOW
15956	2	harker,facility	no	HIGH
16111	4	cellarhead,substation,rownall,facility	no	HIGH
16114	3	bronwylfa,rhostyllen,system	no	HIGH
16245	2	drive,facility	no	HIGH
16410	3	wicken,bridleway,church	no	HIGH
16628	3	bicker,vicarage,drove	no	HIGH
16675	2	stenson,system	no	HIGH
16769	3	ginns,stocking,pelham	no	HIGH
17035	5	lletty,scilp,swansea,north,system	no	HIGH
17245	1	great	no	LOW
17754	2	bullen,bramford	no	HIGH
17940	1	hickling	no	LOW
18195	3	flushing,longside,system	no	HIGH
18554	4	market,great,moulton,system	no	HIGH
18638	4	polly,taylors,marnham,system	no	HIGH
19029	3	netherton,langside,system	no	HIGH
19288	1	thornton	no	LOW
19491	3	mulbarton,keswick,system	no	HIGH
19578	1	fulwood	no	LOW
19649	1	wheaten	no	LOW
9427	1	system	YES	LOW
17458	2	stallingboroughe,stallingborough	no	HIGH
12458	3	lower,dunton,system	no	HIGH
11553	1	staythorpe	no	LOW
17649	2	harker,system	no	HIGH
15672	2	beane,panels	no	HIGH
12820	3	camsiscan,craigie,system	no	HIGH
14101	2	fosse,green	no	HIGH
14913	3	pembroke,station,pwllcrochan	YES	HIGH
15277	2	goldborough,hundleton	YES	HIGH
9904	1	mallard	no	LOW
12179	1	cellarhead	no	LOW
14283	3	gibson,blackhillock,system	no	HIGH
15472	3	penrhos,works,system	no	HIGH
15527	1	kincardine	no	LOW
15980	0		no	NONE
14542	3	pittlesheugh,springwells,farmhouse	no	HIGH
14673	2	avondale,nurseries	no	HIGH
15001	1	peartree	no	LOW
15164	1	fryston	no	LOW
16085	2	burton,spring	no	HIGH
9240	1	stargoose	no	LOW
10467	1	kintore	YES	LOW
12893	2	staythorpe,averham	YES	HIGH
13217	4	carrog,ganol,rhosgoch,system	no	HIGH
14763	1	newarthill	no	LOW
14987	2	philips,mains	no	HIGH
15426	1	mossmorran	no	LOW
16381	3	spittal,mains,system	no	HIGH
17837	1	appleford	no	LOW
18028	3	rednal,airfield,felton	no	HIGH
19251	3	ryedale,seaton,common	no	HIGH
19553	1	werrington	no	LOW
9723	4	blackhillock,electricity,substation,system	no	HIGH
9754	2	hornsea,three	no	HIGH
13980	2	saundercroft,system	YES	HIGH
8986	2	bolney,substation	no	HIGH
18956	5	braybrooke,village,north,harborough,system	no	HIGH
12661	2	abergelli,felindre	no	HIGH
15195	2	layhams,facility	no	HIGH
15573	4	toddington,services,hipsey,spinney	no	HIGH
15883	4	toddington,services,hipsey,spinney	no	HIGH
7614	2	lapwing,plant	no	HIGH
10583	0		no	NONE
11201	2	richborough,sheaf	no	HIGH
14042	2	stracathro,system	no	HIGH
15779	4	ridham,avenue,swale,kemsley	no	HIGH
18348	2	station,grain	no	HIGH
20451	2	aberthaw,system	no	HIGH
19565	1	lackenby	no	LOW
11680	3	springfield,hensall,facility	no	HIGH
14539	2	cockenzie,system	no	HIGH
16644	3	springfield,weeland,facility	no	HIGH
17826	3	eastlands,catsfield,facility	no	HIGH
17842	3	staithes,saltend,system	no	HIGH
18182	1	mollington	no	LOW
19467	2	kellingley,stocking	no	HIGH
14099	1	fenwick	no	LOW
10936	2	uskmouth,station	no	HIGH
13627	2	smeaton,system	no	HIGH
18621	3	wymondham,bracon,system	no	HIGH
18025	2	woodlands,calcott	no	HIGH
18107	3	manor,dartford,system	no	HIGH
10466	1	whitehill	no	LOW
10596	2	windyhill,facility	no	HIGH
11406	2	worset,system	no	HIGH
11656	4	little,beanit,balsall,common	no	HIGH
13404	2	industrial,whitburn	no	HIGH
13576	2	spennymoor,greener	no	HIGH
13607	2	westerleigh,facility	no	HIGH
13643	2	earthcott,green	no	HIGH
13880	1	bolney	no	LOW
14290	3	walsoken,burrettgate,facility	no	HIGH
14677	3	corriemoillie,substation,garve	YES	HIGH
15082	2	stocking,facility	no	HIGH
15173	2	salters,system	no	HIGH
15375	3	corner,weeland,facility	no	HIGH
15599	4	todhills,westlinton,harker,facility	no	HIGH
15607	1	facility	no	LOW
15814	2	sunbury,system	no	HIGH
16050	3	bryntywod,llangyfelach,system	no	HIGH
16201	3	knocknagael,essich,system	no	HIGH
16212	2	ansty,system	YES	HIGH
17005	3	cowpen,bewley,sands	no	HIGH
17014	2	north,lanrigg	YES	HIGH
17028	2	gateway,facility	no	HIGH
17037	2	rectory,system	no	HIGH
17161	2	sunbury,system	no	HIGH
17325	3	womblehill,kintore,system	no	HIGH
17376	3	eskrigg,hutton,system	no	HIGH
17424	4	kingston,international,business,system	no	HIGH
17502	2	rawfield,system	no	HIGH
17503	4	cowley,substation,blackberry,system	no	HIGH
17651	2	dunton,system	no	HIGH
17655	2	mount,system	no	HIGH
17833	5	yaxley,airfield,industrial,estate,system	no	HIGH
17982	2	batter,facility	no	HIGH
18049	2	scotton,system	no	HIGH
18249	4	carrs,south,hetton,system	no	HIGH
18852	3	melbourne,thornton,facility	no	HIGH
19201	3	national,cilfynydd,system	no	HIGH
19403	1	marchwood	no	LOW
7017	0		no	NONE
9014	1	greener	no	LOW
9545	1	heysham	no	LOW
9684	2	carlisle,system	no	HIGH
9969	1	pound	no	LOW
11477	1	helios	no	LOW
11035	2	salamander,connection	no	HIGH
13156	1	byers	YES	LOW
14932	4	fordtead,thorpe,marsh,facility	no	HIGH
17482	2	dunton,system	no	HIGH
17387	2	hilfield,aldenham	no	HIGH
15191	2	perimeter,kirkby	no	HIGH
17780	1	bowshiel	no	LOW
19017	1	springfield	no	LOW
18500	2	achies,system	no	HIGH
15422	2	beinneun,windfarm	no	HIGH
18490	1	facility	no	LOW
10808	2	printworks,stalybridge	no	HIGH
11612	4	norrington,broughton,gifford,facility	no	HIGH
14538	1	neilston	no	LOW
14545	1	belston	no	LOW
14551	0		no	NONE
14729	3	wilton,international,greystones	no	HIGH
15252	2	steeple,renewables	no	HIGH
16197	3	downiebrae,rutherglen,system	YES	HIGH
16478	3	system,development,lisburn	no	HIGH
16656	2	riccarton,mains	no	HIGH
16787	2	bishops,system	no	HIGH
18593	4	witney,bypass,stanton,harcourt	no	HIGH
18649	4	rayleigh,roundabout,benfleet,system	no	HIGH
18986	4	bedhampton,pumping,station,meyrick	no	HIGH
20558	2	carncome,lislunnan	no	HIGH
7175	1	little	no	LOW
